marks,attendance,assignment_completion,participation,coding_score,communication_score,performance_label,behavior_label,dropout_risk,attendance_prediction
36.0,51.0,53.0,26.0,22.0,92.0,low,poor,high,low
84.0,42.0,45.0,60.0,77.0,78.0,medium,average,medium,moderate
75.0,77.0,66.0,65.0,37.0,53.0,medium,average,low,moderate
60.0,80.0,76.0,78.0,76.0,26.0,medium,good,medium,high
60.0,86.0,48.0,65.0,65.0,32.0,medium,average,low,moderate
90.0,97.0,83.0,35.0,36.0,39.0,high,average,low,moderate
36.0,69.0,74.0,49.0,57.0,52.0,medium,average,medium,moderate
78.0,89.0,41.0,55.0,22.0,90.0,medium,average,low,moderate
44.0,82.0,95.0,98.0,76.0,29.0,medium,good,medium,high
36.0,56.0,33.0,62.0,44.0,66.0,low,average,high,moderate
66.0,90.0,75.0,70.0,50.0,47.0,high,good,low,high
98.0,43.0,60.0,78.0,32.0,23.0,medium,average,medium,moderate
81.0,75.0,75.0,48.0,49.0,69.0,high,average,low,moderate
83.0,96.0,84.0,97.0,51.0,76.0,high,good,low,high
80.0,79.0,78.0,73.0,37.0,96.0,high,good,low,high
85.0,96.0,75.0,87.0,98.0,60.0,high,good,low,high
65.0,43.0,88.0,79.0,42.0,46.0,medium,average,high,moderate
38.0,71.0,79.0,69.0,34.0,88.0,medium,average,medium,moderate
88.0,86.0,86.0,22.0,63.0,39.0,high,poor,low,moderate
61.0,78.0,58.0,66.0,45.0,74.0,medium,average,medium,moderate
65.0,92.0,44.0,30.0,56.0,95.0,medium,average,low,moderate
55.0,67.0,46.0,68.0,78.0,20.0,medium,average,medium,moderate
42.0,80.0,72.0,76.0,26.0,94.0,medium,good,medium,moderate
94.0,65.0,67.0,63.0,60.0,36.0,medium,average,medium,moderate
84.0,92.0,35.0,44.0,21.0,58.0,medium,average,low,moderate
75.0,47.0,44.0,24.0,23.0,40.0,medium,poor,medium,low
58.0,55.0,97.0,73.0,27.0,31.0,medium,average,medium,moderate
87.0,45.0,80.0,75.0,32.0,76.0,medium,average,medium,moderate
68.0,82.0,82.0,58.0,47.0,58.0,medium,average,low,moderate
61.0,53.0,43.0,77.0,94.0,60.0,medium,average,medium,moderate
61.0,59.0,34.0,82.0,92.0,58.0,medium,average,medium,moderate
45.0,90.0,50.0,60.0,28.0,79.0,medium,average,low,moderate
36.0,61.0,89.0,23.0,99.0,97.0,medium,poor,medium,low
68.0,48.0,65.0,89.0,70.0,61.0,medium,average,medium,moderate
92.0,41.0,84.0,57.0,64.0,32.0,medium,average,medium,moderate
34.0,53.0,64.0,73.0,83.0,46.0,medium,average,high,moderate
90.0,94.0,64.0,92.0,58.0,59.0,high,good,low,high
87.0,72.0,72.0,49.0,41.0,28.0,medium,average,low,moderate
49.0,99.0,97.0,69.0,62.0,38.0,high,good,low,high
74.0,52.0,60.0,21.0,78.0,36.0,medium,poor,medium,low
41.0,61.0,71.0,90.0,74.0,97.0,medium,good,medium,moderate
83.0,49.0,94.0,24.0,33.0,52.0,medium,poor,medium,low
79.0,63.0,56.0,63.0,95.0,90.0,high,average,medium,moderate
54.0,73.0,88.0,48.0,42.0,64.0,medium,average,medium,moderate
34.0,88.0,67.0,22.0,85.0,60.0,medium,poor,medium,moderate
97.0,62.0,91.0,56.0,44.0,95.0,high,average,medium,moderate
61.0,86.0,62.0,94.0,25.0,75.0,medium,good,low,high
92.0,77.0,74.0,33.0,99.0,39.0,high,average,low,moderate
77.0,57.0,52.0,43.0,67.0,42.0,medium,poor,medium,moderate
84.0,94.0,74.0,35.0,37.0,73.0,high,average,low,moderate
83.0,66.0,52.0,29.0,20.0,20.0,medium,poor,medium,moderate
43.0,49.0,72.0,38.0,30.0,32.0,low,poor,high,low
55.0,97.0,85.0,65.0,33.0,25.0,medium,good,low,high
62.0,94.0,60.0,82.0,94.0,77.0,high,good,low,high
64.0,42.0,60.0,75.0,34.0,55.0,medium,average,high,moderate
33.0,94.0,52.0,81.0,32.0,20.0,medium,good,low,high
68.0,96.0,81.0,77.0,87.0,79.0,high,good,low,high
40.0,89.0,71.0,50.0,90.0,72.0,medium,average,medium,moderate
82.0,55.0,66.0,92.0,36.0,77.0,medium,good,medium,high
77.0,77.0,31.0,33.0,72.0,33.0,medium,average,low,moderate
94.0,72.0,37.0,75.0,62.0,89.0,high,average,low,high
82.0,77.0,30.0,28.0,66.0,34.0,medium,poor,low,moderate
55.0,76.0,89.0,81.0,44.0,65.0,medium,good,medium,moderate
97.0,78.0,89.0,26.0,80.0,64.0,high,poor,low,moderate
58.0,70.0,34.0,37.0,90.0,37.0,medium,average,medium,moderate
52.0,81.0,33.0,51.0,78.0,50.0,medium,average,medium,moderate
93.0,71.0,84.0,75.0,92.0,24.0,high,average,low,high
55.0,40.0,66.0,23.0,28.0,57.0,medium,poor,high,low
35.0,42.0,51.0,40.0,72.0,74.0,low,poor,high,low
62.0,97.0,73.0,46.0,99.0,44.0,high,average,low,moderate
85.0,94.0,46.0,78.0,62.0,63.0,high,good,low,high
43.0,75.0,43.0,96.0,95.0,96.0,medium,good,medium,high
62.0,50.0,55.0,69.0,47.0,38.0,medium,average,medium,moderate
39.0,86.0,92.0,60.0,91.0,43.0,medium,average,medium,moderate
78.0,48.0,83.0,46.0,95.0,29.0,medium,poor,medium,moderate
63.0,62.0,43.0,85.0,69.0,63.0,medium,good,medium,moderate
53.0,59.0,69.0,28.0,76.0,36.0,medium,poor,medium,low
45.0,40.0,91.0,30.0,61.0,88.0,medium,poor,high,low
69.0,88.0,96.0,36.0,45.0,43.0,high,average,low,moderate
76.0,70.0,83.0,41.0,62.0,73.0,high,average,medium,moderate
95.0,58.0,39.0,56.0,96.0,35.0,medium,average,medium,moderate
60.0,70.0,46.0,95.0,21.0,45.0,medium,good,medium,high
41.0,40.0,45.0,72.0,36.0,33.0,low,average,high,moderate
